id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
167,Natalya Akilova,31/05/1993,183,62,295,275,Players.asp?Tourn=WGP2011&Team=KAZ&No=133093
168,Natalya Kulinich,19/07/1988,173,66,280,275,Players.asp?Tourn=WGP2011&Team=KAZ&No=135459
169,Inna Shkurina,20/10/1993,178,65,276,266,Players.asp?Tourn=WGP2011&Team=KAZ&No=133091
170,Seul-Gi Park,25/02/1991,178,65,290,284,Players.asp?Tourn=WGP2011&Team=KOR&No=119476
171,Sooji Han,1/02/1989,182,72,285,275,Players.asp?Tourn=WGP2011&Team=KOR&No=116433
172,Youn Joo Hwang,13/08/1986,177,64,285,265,Players.asp?Tourn=WGP2011&Team=KOR&No=114880
173,Hae Ran Kim,16/03/1984,168,60,270,250,Players.asp?Tourn=WGP2011&Team=KOR&No=112775
174,So-Jin Lee,28/08/1987,178,63,280,265,Players.asp?Tourn=WGP2011&Team=KOR&No=136445
175,Hye-Suk Yoon,19/06/1983,174,60,293,283,Players.asp?Tourn=WGP2011&Team=KOR&No=114879
176,Jie Youn Nam,25/05/1983,170,61,285,273,Players.asp?Tourn=WGP2011&Team=KOR&No=112496
177,Myungok Yim,5/05/1986,175,62,273,253,Players.asp?Tourn=WGP2011&Team=KOR&No=118028
178,Yeon Koung Kim,26/02/1988,192,73,330,320,Players.asp?Tourn=WGP2011&Team=KOR&No=116439
179,Young-Eun Jang,30/10/1993,182,68,290,270,Players.asp?Tourn=WGP2011&Team=KOR&No=133087
180,Songyi Han,5/09/1984,186,65,305,298,Players.asp?Tourn=WGP2011&Team=KOR&No=112772
181,Bo-Lam Lee,8/08/1988,185,75,283,274,Players.asp?Tourn=WGP2011&Team=KOR&No=116441
182,Hea-Won La,28/06/1986,184,73,302,294,Players.asp?Tourn=WGP2011&Team=KOR&No=114073
183,Se Young Kim,4/06/1981,72,294,284,Heungkuk Life,Players.asp?Tourn=WGP2011&Team=KOR&No=113906
184,Yoo Na Bae,30/11/1989,182,68,285,275,Players.asp?Tourn=WGP2011&Team=KOR&No=116431
185,Hyejin Kim,17/02/1989,180,62,284,274,Players.asp?Tourn=WGP2011&Team=KOR&No=116436
186,Heejin Kim,29/04/1991,185,75,305,295,Players.asp?Tourn=WGP2011&Team=KOR&No=119484
187,Minkyoung Hwang,2/06/1990,174,64,290,282,Players.asp?Tourn=WGP2011&Team=KOR&No=119479
188,Sook-Ja Lee,17/06/1980,175,58,286,264,Players.asp?Tourn=WGP2011&Team=KOR&No=113908
189,Mirtha Uribe,12/03/1985,184,67,297,286,Players.asp?Tourn=WGP2011&Team=PER&No=117293
190,Paola Garcia,25/08/1987,186,75,300,298,Players.asp?Tourn=WGP2011&Team=PER&No=117310
191,Patricia Soto,10/02/1980,179,67,300,295,Players.asp?Tourn=WGP2011&Team=PER&No=117295
192,Vanessa Palacios,3/07/1984,170,60,275,260,Players.asp?Tourn=WGP2011&Team=PER&No=117302
193,Jessenia Uceda,14/08/1981,178,69,304,294,Players.asp?Tourn=WGP2011&Team=PER&No=117316
194,Yulissa Zamudio Ore,24/03/1976,184,61,315,300,Players.asp?Tourn=WGP2011&Team=PER&No=118403
195,Milagros Moy,17/10/1975,175,66,296,285,Players.asp?Tourn=WGP2011&Team=PER&No=135627
196,Raffaella Camet,14/09/1992,184,67,289,285,Players.asp?Tourn=WGP2011&Team=PER&No=118784
197,Luren Baylon Francis,14/08/1977,180,68,310,305,Players.asp?Tourn=WGP2011&Team=PER&No=118401
198,Clarivett Yllescas,11/08/1993,184,72,305,295,Players.asp?Tourn=WGP2011&Team=PER&No=132747
199,Carla Rueda Cotito,19/04/1990,184,70,312,306,Players.asp?Tourn=WGP2011&Team=PER&No=118410
200,Zoila La Rosa,31/05/1990,174,62,285,280,Players.asp?Tourn=WGP2011&Team=PER&No=118791
201,Elena Keldibekova,23/06/1974,177,72,289,280,Players.asp?Tourn=WGP2011&Team=PER&No=117303
202,Karla Ortiz,20/10/1991,182,60,300,290,Players.asp?Tourn=WGP2011&Team=PER&No=118786
203,Alexandra Muñoz,16/08/1992,177,63,287,281,Players.asp?Tourn=WGP2011&Team=PER&No=132741
204,Brenda Daniela Uribe,11/12/1993,183,63,297,282,Players.asp?Tourn=WGP2011&Team=PER&No=132740
205,Carla Tristan,29/01/1988,180,67,297,295,Players.asp?Tourn=WGP2011&Team=PER&No=117324
206,Gisella Duarte,21/11/1977,191,78,297,292,Players.asp?Tourn=WGP2011&Team=PER&No=136687
207,Sandra Guibert,11/06/1989,177,65,295,287,Players.asp?Tourn=WGP2011&Team=PER&No=136688
208,Katarzyna Konieczna,22/03/1985,184,75,304,288,Players.asp?Tourn=WGP2011&Team=POL&No=112694
209,Karolina Rozycka,28/06/1985,183,68,305,284,Players.asp?Tourn=WGP2011&Team=POL&No=132060
210,Izabela Belcik,29/11/1980,185,65,304,292,Players.asp?Tourn=WGP2011&Team=POL&No=113513
211,Berenika Tomsia,18/03/1988,188,72,310,302,Players.asp?Tourn=WGP2011&Team=POL&No=114293
212,Magdalena Saad,14/05/1985,168,55,277,261,Players.asp?Tourn=WGP2011&Team=POL&No=118029
213,Kinga Kasprzak,12/06/1987,188,76,310,295,Players.asp?Tourn=WGP2011&Team=POL&No=132064
214,Klaudia Kaczorowska,20/12/1988,184,68,303,281,Players.asp?Tourn=WGP2011&Team=POL&No=119139
215,Joanna Kapturska,4/07/1986,185,67,307,293,Players.asp?Tourn=WGP2011&Team=POL&No=119133
216,Sylwia Pelc,30/11/1990,189,85,312,293,Players.asp?Tourn=WGP2011&Team=POL&No=118594
217,Anna Werblinska,14/05/1984,178,66,308,292,Players.asp?Tourn=WGP2011&Team=POL&No=112544
